"display_name","first_name","id","last_name","party","state"
"Akaka (D-HI)","Daniel","S213","Akaka","D","HI"
"Baucus (D-MT)","Max","S127","Baucus","D","MT"
"Bennett (R-UT)","Robert","S231","Bennett","R","UT"
"Biden (D-DE)","Joseph","S010","Biden","D","DE"
"Bingaman (D-NM)","Jeff","S167","Bingaman","D","NM"
"Bond (R-MO)","Christopher","S200","Bond","R","MO"
"Boren (D-OK)","David","S128","Boren","D","OK"
"Boxer (D-CA)","Barbara","S223","Boxer","D","CA"
"Bradley (D-NJ)","Bill","S132","Bradley","D","NJ"
"Breaux (D-LA)","John","S179","Breaux","D","LA"
"Brown (R-CO)","Hank","S214","Brown","R","CO"
"Bryan (D-NV)","Richard","S206","Bryan","D","NV"
"Bumpers (D-AR)","Dale","S014","Bumpers","D","AR"
"Burns (R-MT)","Conrad","S211","Burns","R","MT"
"Byrd (D-WV)","Robert","S017","Byrd","D","WV"
"Campbell (D-CO)","Ben","S225","Campbell","D","CO"
"Chafee (R-RI)","John","S116","Chafee","R","RI"
"Coats (R-IN)","Dan","S212","Coats","R","IN"
"Cochran (R-MS)","Thad","S136","Cochran","R","MS"
"Cohen (R-ME)","William","S137","Cohen","R","ME"
"Conrad (D-ND)","Kent","S201","Conrad","D","ND"
"Coverdell (R-GA)","Paul","S228","Coverdell","R","GA"
"Craig (R-ID)","Larry","S215","Craig","R","ID"
"D'Amato (R-NY)","Alfonse","S147","D'Amato","R","NY"
"Danforth (R-MO)","John","S108","Danforth","R","MO"
"Daschle (D-SD)","Thomas","S185","Daschle","D","SD"
"DeConcini (D-AZ)","Dennis","S102","DeConcini","D","AZ"
"Dodd (D-CT)","Christopher","S150","Dodd","D","CT"
"Dole (R-KS)","Bob","S026","Dole","R","KS"
"Domenici (R-NM)","Pete","S027","Domenici","R","NM"
"Dorgan (D-ND)","Byron","S222","Dorgan","D","ND"
"Durenberger (R-MN)","Dave","S133","Durenberger","R","MN"
"Exon (D-NE)","J.","S129","Exon","D","NE"
"Faircloth (R-NC)","Lauch","S227","Faircloth","R","NC"
"Feingold (D-WI)","Russell","S230","Feingold","D","WI"
"Feinstein (D-CA)","Dianne","S221","Feinstein","D","CA"
"Ford (D-KY)","Wendell","S033","Ford","D","KY"
"Glenn (D-OH)","John","S035","Glenn","D","OH"
"Gorton (R-WA)","Slade","S152","Gorton","R","WA"
"Graham (D-FL)","Bob","S199","Graham","D","FL"
"Gramm (R-TX)","Phil","S171","Gramm","R","TX"
"Grassley (R-IA)","Chuck","S153","Grassley","R","IA"
"Gregg (R-NH)","Judd","S224","Gregg","R","NH"
"Harkin (D-IA)","Tom","S172","Harkin","D","IA"
"Hatch (R-UT)","Orrin","S118","Hatch","R","UT"
"Hatfield (R-OR)","Mark","S044","Hatfield","R","OR"
"Heflin (D-AL)","Howell","S130","Heflin","D","AL"
"Helms (R-NC)","Jesse","S046","Helms","R","NC"
"Hollings (D-SC)","Ernest","S047","Hollings","D","SC"
"Hutchison (R-TX)","Kay","S235","Hutchison","R","TX"
"Inouye (D-HI)","Daniel","S051","Inouye","D","HI"
"Jeffords (R-VT)","James","S204","Jeffords","R","VT"
"Johnston (D-LA)","J.","S054","Johnston","D","LA"
"Kassebaum (R-KS)","Nancy","S140","Kassebaum","R","KS"
"Kempthorne (R-ID)","Dirk","S232","Kempthorne","R","ID"
"Kennedy (D-MA)","Edward","S055","Kennedy","D","MA"
"Kerrey (D-NE)","J.","S208","Kerrey","D","NE"
"Kerry (D-MA)","John","S173","Kerry","D","MA"
"Kohl (D-WI)","Herb","S209","Kohl","D","WI"
"Lautenberg (D-NJ)","Frank","S166","Lautenberg","D","NJ"
"Leahy (D-VT)","Patrick","S057","Leahy","D","VT"
"Levin (D-MI)","Carl","S131","Levin","D","MI"
"Lieberman (D-CT)","Joseph","S210","Lieberman","D","CT"
"Lott (R-MS)","Trent","S203","Lott","R","MS"
"Lugar (R-IN)","Richard","S105","Lugar","R","IN"
"Mack (R-FL)","Connie","S205","Mack","R","FL"
"Mathews (D-TN)","Harlan","S233","Mathews","D","TN"
"McCain (R-AZ)","John","S197","McCain","R","AZ"
"McConnell (R-KY)","Mitch","S174","McConnell","R","KY"
"Metzenbaum (D-OH)","Howard","S114","Metzenbaum","D","OH"
"Mikulski (D-MD)","Barbara","S182","Mikulski","D","MD"
"Mitchell (D-ME)","George","S144","Mitchell","D","ME"
"Moseley-Braun (D-IL)","Carol","S226","Moseley-Braun","D","IL"
"Moynihan (D-NY)","Daniel","S113","Moynihan","D","NY"
"Murkowski (R-AK)","Frank","S157","Murkowski","R","AK"
"Murray (D-WA)","Patty","S229","Murray","D","WA"
"Nickles (R-OK)","Don","S158","Nickles","R","OK"
"Nunn (D-GA)","Sam","S074","Nunn","D","GA"
"Packwood (R-OR)","Bob","S075","Packwood","R","OR"
"Pell (D-RI)","Claiborne","S078","Pell","D","RI"
"Pressler (R-SD)","Larry","S141","Pressler","R","SD"
"Pryor (D-AR)","David","S125","Pryor","D","AR"
"Reid (D-NV)","Harry","S198","Reid","D","NV"
"Riegle (D-MI)","Donald","S107","Riegle","D","MI"
"Robb (D-VA)","Charles","S207","Robb","D","VA"
"Rockefeller (D-WV)","John","S176","Rockefeller","D","WV"
"Roth (R-DE)","William","S083","Roth","R","DE"
"Sarbanes (D-MD)","Paul","S106","Sarbanes","D","MD"
"Sasser (D-TN)","Jim","S117","Sasser","D","TN"
"Shelby (D-AL)","Richard","S184","Shelby","D","AL"
"Simon (D-IL)","Paul","S175","Simon","D","IL"
"Simpson (R-WY)","Alan","S142","Simpson","R","WY"
"Smith (R-NH)","Bob","S216","Smith","R","NH"
"Specter (R-PA)","Arlen","S161","Specter","R","PA"
"Stevens (R-AK)","Ted","S090","Stevens","R","AK"
"Thurmond (R-SC)","Strom","S096","Thurmond","R","SC"
"Wallop (R-WY)","Malcolm","S119","Wallop","R","WY"
"Warner (R-VA)","John","S143","Warner","R","VA"
"Wellstone (D-MN)","Paul","S217","Wellstone","D","MN"
"Wofford (D-PA)","Harris","S219","Wofford","D","PA"
"Inhofe (R-OK)","James","S236","Inhofe","R","OK"
